Código,Categoría / Pais,Descripción,En Inventario,Repetidas,Grupos
FWC-00,Especiales,Sello Panini,FALSE,0,Especiales
FWC-1,Especiales,Copa del Mundo,FALSE,0,Especiales
FWC-2,Especiales,Mascota 1,FALSE,0,Especiales
FWC-3,Especiales,Mascota 2,FALSE,0,Especiales
FWC-4,Especiales,Balón,FALSE,0,Especiales
FWC-5,Especiales,Logo,FALSE,0,Especiales
FWC-6,Especiales,Especial 6,FALSE,0,Especiales
FWC-7,Especiales,Especial 7,FALSE,0,Especiales
FWC-8,Especiales,Especial 8,FALSE,0,Especiales
FWC-9,Especiales,Especial 9,FALSE,0,Especiales
FWC-10,Especiales,Especial 10,FALSE,0,Especiales
FWC-11,Especiales,Especial 11,FALSE,0,Especiales
FWC-12,Especiales,Especial 12,FALSE,0,Especiales
FWC-13,Especiales,Especial 13,FALSE,0,Especiales
FWC-14,Especiales,Especial 14,FALSE,0,Especiales
FWC-15,Especiales,Especial 15,FALSE,0,Especiales
FWC-16,Especiales,Especial 16,FALSE,0,Especiales
FWC-17,Especiales,Especial 17,FALSE,0,Especiales
FWC-18,Especiales,Especial 18,FALSE,0,Especiales
FWC-19,Especiales,Especial 19,FALSE,0,Especiales
MEX-1,MÉXICO,ESCUDO DE MÉXICO,FALSE,0,Grupo A
MEX-2,MÉXICO,LUIS MALAGÓN,FALSE,0,Grupo A
MEX-3,MÉXICO,JOHAN VÁSQUEZ,FALSE,0,Grupo A
MEX-4,MÉXICO,JORGE SÁNCHEZ,FALSE,0,Grupo A
MEX-5,MÉXICO,CÉSAR MONTES,FALSE,0,Grupo A
MEX-6,MÉXICO,JESÚS GALLARDO,FALSE,0,Grupo A
MEX-7,MÉXICO,ISRAEL REYES,FALSE,0,Grupo A
MEX-8,MÉXICO,DIEGO LAINEZ,FALSE,0,Grupo A
MEX-9,MÉXICO,CARLOS RODRÍGUEZ,FALSE,0,Grupo A
MEX-10,MÉXICO,EDSON ÁLVAREZ,FALSE,0,Grupo A
MEX-11,MÉXICO,ORBELÍN PINEDA,FALSE,0,Grupo A
MEX-12,MÉXICO,MARCEL RUÍZ,FALSE,0,Grupo A
MEX-13,MÉXICO,SELECCION MEXICANA DE FÚTBOL,FALSE,0,Grupo A
MEX-14,MÉXICO,ERICK SÁNCHEZ,FALSE,0,Grupo A
MEX-15,MÉXICO,HIRVING LOZANO,FALSE,0,Grupo A
MEX-16,MÉXICO,SANTIAGO GIMÉNEZ,FALSE,0,Grupo A
MEX-17,MÉXICO,RAÚL JIMÉNEZ,FALSE,0,Grupo A
MEX-18,MÉXICO,ALEXIS VEGA,FALSE,0,Grupo A
MEX-19,MÉXICO,ROBERTO ALVARADO,FALSE,0,Grupo A
MEX-20,MÉXICO,CÉSAR HUERTA,FALSE,0,Grupo A
RSA-1,SUDÁFRICA,ESCUDO DE SUDÁFRICA,FALSE,0,Grupo A
RSA-2,SUDÁFRICA,RONWEN WILLIAMS,FALSE,0,Grupo A
RSA-3,SUDÁFRICA,SIPHO CHAINE,FALSE,0,Grupo A
RSA-4,SUDÁFRICA,AUBREY MODIBA,FALSE,0,Grupo A
RSA-5,SUDÁFRICA,SAMUKELE KABINI,FALSE,0,Grupo A
RSA-6,SUDÁFRICA,MBEKEZLI MBOKAZI,FALSE,0,Grupo A
RSA-7,SUDÁFRICA,KHULUMANI NDAMANE,FALSE,0,Grupo A
RSA-8,SUDÁFRICA,SIVABONGA NGEZANA,FALSE,0,Grupo A
RSA-9,SUDÁFRICA,KHULISO MUDAU,FALSE,0,Grupo A
RSA-10,SUDÁFRICA,NKOSINATHI SIBISI,FALSE,0,Grupo A
RSA-11,SUDÁFRICA,TEBOHO MOKOENA,FALSE,0,Grupo A
RSA-12,SUDÁFRICA,THALENTE MBATHA,FALSE,0,Grupo A
RSA-13,SUDÁFRICA,SELECCION SUDAFRICANA DE FUTBOL,FALSE,0,Grupo A
RSA-14,SUDÁFRICA,BATHUSI AUBAAS,FALSE,0,Grupo A
RSA-15,SUDÁFRICA,VAYA SITHOLE,FALSE,0,Grupo A
RSA-16,SUDÁFRICA,SIPHO MBULE,FALSE,0,Grupo A
RSA-17,SUDÁFRICA,LYLE FOSTER,FALSE,0,Grupo A
RSA-18,SUDÁFRICA,IORAAM RAVNERS,FALSE,0,Grupo A
RSA-19,SUDÁFRICA,MOHAU NKOTA,FALSE,0,Grupo A
RSA-20,SUDÁFRICA,OSWIN APOLLIS,FALSE,0,Grupo A
KOR-1,COREA DEL SUR,ESCUDO DE COREA DEL SUR,FALSE,0,Grupo A
KOR-2,COREA DEL SUR,HYEONWOO JO,FALSE,0,Grupo A
KOR-3,COREA DEL SUR,SEUNGGYU KIM,FALSE,0,Grupo A
KOR-4,COREA DEL SUR,MIJNAE KIM,FALSE,0,Grupo A
KOR-5,COREA DEL SUR,YUMIN CHO,FALSE,0,Grupo A
KOR-6,COREA DEL SUR,YOUNGWOO SEOL,FALSE,0,Grupo A
KOR-7,COREA DEL SUR,HANBEOM LEE,FALSE,0,Grupo A
KOR-8,COREA DEL SUR,TAESEOK LEE,FALSE,0,Grupo A
KOR-9,COREA DEL SUR,MUYNGJAE LEE,FALSE,0,Grupo A
KOR-10,COREA DEL SUR,JAESUNG LEE,FALSE,0,Grupo A
KOR-11,COREA DEL SUR,INBEOM HWANG,FALSE,0,Grupo A
KOR-12,COREA DEL SUR,KANGIN LEE,FALSE,0,Grupo A
KOR-13,COREA DEL SUR,SELECCION NACIONAL DE COREA DEL SUR,FALSE,0,Grupo A
KOR-14,COREA DEL SUR,SEUNGHO PAIK,FALSE,0,Grupo A
KOR-15,COREA DEL SUR,JENS CASTROP,FALSE,0,Grupo A
KOR-16,COREA DEL SUR,DONGGYEONG LEE,FALSE,0,Grupo A
KOR-17,COREA DEL SUR,GUESUNG CHO,FALSE,0,Grupo A
KOR-18,COREA DEL SUR,HEUNGMIN SON,FALSE,0,Grupo A
KOR-19,COREA DEL SUR,HEECHAN HWANG,FALSE,0,Grupo A
KOR-20,COREA DEL SUR,HYEONGYU OH,FALSE,0,Grupo A
CZE-1,REPÚBLICA CHECA,ESCUDO DE CHEQUIA,FALSE,0,Grupo A
CZE-2,REPÚBLICA CHECA,MATEJ KOVAR,FALSE,0,Grupo A
CZE-3,REPÚBLICA CHECA,JINDRICH STANEK,FALSE,0,Grupo A
CZE-4,REPÚBLICA CHECA,LADISLAV KREJCI,FALSE,0,Grupo A
CZE-5,REPÚBLICA CHECA,VLADIMIR COUFAL,FALSE,0,Grupo A
CZE-6,REPÚBLICA CHECA,JAROSLAV ZELENY,FALSE,0,Grupo A
CZE-7,REPÚBLICA CHECA,TOMAS HOLES,FALSE,0,Grupo A
CZE-8,REPÚBLICA CHECA,DAVID ZIMA,FALSE,0,Grupo A
CZE-9,REPÚBLICA CHECA,MICHAL SADILEK,FALSE,0,Grupo A
CZE-10,REPÚBLICA CHECA,LUKAS PROVOD,FALSE,0,Grupo A
CZE-11,REPÚBLICA CHECA,LUKAS CERV,FALSE,0,Grupo A
CZE-12,REPÚBLICA CHECA,TOMAS SOUCEK,FALSE,0,Grupo A
CZE-13,REPÚBLICA CHECA,SELECCION NACIONAL DE REPÚBLICA CHECA,FALSE,0,Grupo A
CZE-14,REPÚBLICA CHECA,PAVEL SULC,FALSE,0,Grupo A
CZE-15,REPÚBLICA CHECA,MATEJ VYDRA,FALSE,0,Grupo A
CZE-16,REPÚBLICA CHECA,VASIL KUSEJ,FALSE,0,Grupo A
CZE-17,REPÚBLICA CHECA,TOMAS CHORY,FALSE,0,Grupo A
CZE-18,REPÚBLICA CHECA,VACLAV CHERNY,FALSE,0,Grupo A
CZE-19,REPÚBLICA CHECA,ADAM HLOZEK,FALSE,0,Grupo A
CZE-20,REPÚBLICA CHECA,PATRICK SHICK,FALSE,0,Grupo A
CAN-1,CANADÁ,ESCUDO DE CANADA,FALSE,0,Grupo B
CAN-2,CANADÁ,DAYNE ST. CLAIR,FALSE,0,Grupo B
